Datum,Prometni_dogodki
2022-01-01 06:00:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
"
2022-01-01 06:30:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: cesta čez prelaz Vršič | SMER: - | TIP: omejitev
"
2022-01-01 07:00:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: cesta čez prelaz Vršič | SMER: - | TIP: omejitev
"
2022-01-01 08:00:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
"
2022-01-01 08:30:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
"
2022-01-01 09:00:00,"LOKACIJA: - | SMER: - | TIP: prepoved prometa
LOKACIJA: cesta čez prelaz Vršič | SMER: - | TIP: omejitev
"
2022-01-01 09:30:00,"LOKACIJA: - | SMER: - | TIP: prepoved prometa
LOKACIJA: cesta čez prelaz Vršič | SMER: - | TIP: omejitev
"
2022-01-01 10:00:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
"
2022-01-01 10:30:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
"
2022-01-01 11:00:00,"LOKACIJA: Gorenjska avtocesta, med priključkoma Brezje in Podtabor | SMER: proti Ljubljani | TIP: zapora ceste
LOKACIJA: - | SMER: - | TIP: prepoved prometa
"
2022-01-01 11:30:00,"LOKACIJA: gorenjska avtocesta, med priključkoma Brezje in Podtabor | SMER: proti Ljubljani | TIP: zaprt vozni pas
LOKACIJA: - | SMER: - | TIP: prepoved prometa
"
2022-01-01 12:00:00,"LOKACIJA: gorenjska avtocesta, med priključkoma Brezje in Podtabor | SMER: proti Ljubljani | TIP: zaprt vozni pas
LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
"
2022-01-01 12:30:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: cesta čez prelaz Vršič | SMER: - | TIP: omejitev
